ticker,cls,sign,total,mean_pnl,median_pnl,wins,win_rate,win_rate_lb,pnl_lb,gamma,gamma_n,gamma_mean,gamma_rate,alpha,sigma
HUBC,EXIT07,pos,11,18.268055,8.69263,10,0.9090909090909091,0.6226353745137962,2.225814143940269,0.5,11.0,18.268054962158203,0.9090909090909091,4.188596963882446,
HUBC,EXIT18,neg,25,-0.5265926,0.0,10,0.4,0.23403057664190918,-1.6325162422270156,,,,,1.8922946453094482,
HUBC,EXIT18,pos,12,7.384135,2.0507278,10,0.8333333333333334,0.5519636426153274,-3.324038976701198,,,,,4.188596963882446,
HUBC,EXIT21,neg,17,0.9625852,0.0,8,0.47058823529411764,0.26164801196088106,-2.152144030697401,,,,,1.8922946453094482,
HUBC,EXIT21,pos,6,12.552969,1.8690851,6,1.0,0.6096569663469354,-7.903386291972939,,,,,4.188596963882446,
HUBC,PRINT,neg,25,6.577988,3.7735848,20,0.8,0.6086866446346176,1.6039787284847788,0.5,25.0,6.577988147735596,0.8,1.8922946453094482,
HUBC,PRINT,pos,17,14.431352,6.7826095,16,0.9411764705882353,0.730174547964372,3.4954116840142913,0.5,17.0,14.431353569030762,0.9411764705882353,4.188596963882446,
HUBCW,EXIT04,neg,3,43.3,22.0,2,0.6666666666666666,0.20765495512648788,-21.220128571519965,,,,,5.000002861022949,
HUBCW,EXIT04,pos,1,82.333336,82.333336,1,1.0,0.20654329147389294,,,,,,0.9999960660934448,
HUBCW,EXIT07,neg,1,63.4,63.4,1,1.0,0.20654329147389294,,,,,,5.000002861022949,
HUBCW,EXIT07,pos,1,104.01933,104.01933,1,1.0,0.20654329147389294,,,,,,0.9999960660934448,
HUBCW,EXIT18,neg,1,16.400002,16.400002,1,1.0,0.20654329147389294,,,,,,5.000002861022949,
HUBCW,EXIT18,pos,3,22.111113,2.5000038,2,0.6666666666666666,0.20765495512648788,-19.301466549514842,,,,,0.9999960660934448,
HUBCW,EXIT21,pos,1,65.0,65.0,1,1.0,0.20654329147389294,,,,,,0.9999960660934448,
HUBCW,PRINT,neg,4,22.599998,0.0,1,0.25,0.045586062644636216,-26.37621106557514,,,,,5.000002861022949,
HUBCW,PRINT,pos,3,33.411114,4.0,3,1.0,0.4384939195509822,-24.725353924681237,,,,,0.9999960660934448,
HUBG,EXIT07,neg,3,8.723384,3.8842764,3,1.0,0.4384939195509822,-3.4060919120053743,,,,,1.4857900540033977,
HUBG,EXIT07,pos,3,5.0457973,4.9602733,3,1.0,0.4384939195509822,2.105236661102518,,,,,0.29022757212320965,
HUBG,EXIT18,pos,1,-0.09557819,-0.09557819,0,0.0,0.0,,,,,,0.29022757212320965,
HUBG,EXIT21,neg,1,-0.21696347,-0.21696347,0,0.0,0.0,,,,,,1.4857900540033977,
HUBG,PRINT,neg,20,2.9752157,1.7996014,20,1.0,0.8388698745050667,1.096113737053722,0.5,20.0,2.975215435028076,1.0,1.4857900540033977,
HUBG,PRINT,pos,20,2.7093375,2.4257798,19,0.95,0.7638641064874331,1.7785155713828442,0.5,20.0,2.7093377113342285,0.95,0.29022757212320965,
HUBS,EXIT04,neg,22,4.74411,4.1274157,22,1.0,0.8513404742740388,3.1437840931412593,0.5,22.0,4.744110584259033,1.0,0.1937655657529831,
HUBS,EXIT04,pos,21,6.313526,4.9088116,20,0.9523809523809523,0.7733018341376451,3.6845899837190785,0.5,21.0,6.313526153564453,0.9523809523809523,0.632343202829361,
HUBS,EXIT07,neg,17,5.0126686,3.8388014,17,1.0,0.8156763396284354,2.8709230946665545,0.5,17.0,5.012668609619141,1.0,0.1937655657529831,
HUBS,EXIT07,pos,18,7.042898,5.568878,17,0.9444444444444444,0.7424220019799247,3.9947271102517714,0.5,18.0,7.042898178100586,0.9444444444444444,0.632343202829361,
HUBS,EXIT18,neg,21,0.25918013,0.1399517,12,0.5714285714285714,0.3654621629703245,-0.16759890348249235,,,,,0.1937655657529831,
HUBS,EXIT18,pos,16,1.4837261,0.1571989,12,0.75,0.5050123107060135,-1.1206885788014533,2.0,10.0,0.4192444384098053,0.9,0.632343202829361,
HUBS,EXIT21,neg,10,0.5776973,0.54810363,8,0.8,0.49015684672072346,-0.009945870736090878,,,,,0.1937655657529831,
HUBS,EXIT21,pos,5,3.8724616,0.9110317,3,0.6,0.23071993220883702,-3.8756354229570826,,,,,0.632343202829361,
HUBS,PRINT,neg,24,4.5763087,3.8841133,21,0.875,0.6899571185214244,2.682506776665676,0.5,24.0,4.5763092041015625,0.875,0.1937655657529831,
HUBS,PRINT,pos,24,7.1166,5.9345694,23,0.9583333333333334,0.7975777375115778,4.391508722296891,0.5,24.0,7.116600036621094,0.9583333333333334,0.632343202829361,
HUDI,EXIT04,neg,5,3.4366748,4.533623,3,0.6,0.23071993220883702,-1.0608026525820105,,,,,1.999790370464325,
