ticker,bench,events_total,days_with_entry,advanced_events_total,stack_10m_best_long_rate,stack_10m_best_long_total,stack_10m_best_long_lo,stack_10m_best_long_hi,stack_10m_best_long_avg_move,stack_10m_best_short_rate,stack_10m_best_short_total,stack_10m_best_short_lo,stack_10m_best_short_hi,stack_10m_best_short_avg_move,stack_30m_best_long_rate,stack_30m_best_long_total,stack_30m_best_long_lo,stack_30m_best_long_hi,stack_30m_best_long_avg_move,stack_30m_best_short_rate,stack_30m_best_short_total,stack_30m_best_short_lo,stack_30m_best_short_hi,stack_30m_best_short_avg_move,devsig_10m_best_long_rate,devsig_10m_best_long_total,devsig_10m_best_long_lo,devsig_10m_best_long_hi,devsig_10m_best_long_avg_move,devsig_10m_best_short_rate,devsig_10m_best_short_total,devsig_10m_best_short_lo,devsig_10m_best_short_hi,devsig_10m_best_short_avg_move,devsig_30m_best_long_rate,devsig_30m_best_long_total,devsig_30m_best_long_lo,devsig_30m_best_long_hi,devsig_30m_best_long_avg_move,devsig_30m_best_short_rate,devsig_30m_best_short_total,devsig_30m_best_short_lo,devsig_30m_best_short_hi,devsig_30m_best_short_avg_move,bench_10m_best_long_rate,bench_10m_best_long_total,bench_10m_best_long_lo,bench_10m_best_long_hi,bench_10m_best_long_avg_move,bench_10m_best_short_rate,bench_10m_best_short_total,bench_10m_best_short_lo,bench_10m_best_short_hi,bench_10m_best_short_avg_move,bench_30m_best_long_rate,bench_30m_best_long_total,bench_30m_best_long_lo,bench_30m_best_long_hi,bench_30m_best_long_avg_move,bench_30m_best_short_rate,bench_30m_best_short_total,bench_30m_best_short_lo,bench_30m_best_short_hi,bench_30m_best_short_avg_move,adv_stack_10m_best_long_rate,adv_stack_10m_best_long_total,adv_stack_10m_best_long_lo,adv_stack_10m_best_long_hi,adv_stack_10m_best_long_avg_move,adv_stack_10m_best_short_rate,adv_stack_10m_best_short_total,adv_stack_10m_best_short_lo,adv_stack_10m_best_short_hi,adv_stack_10m_best_short_avg_move,adv_stack_30m_best_long_rate,adv_stack_30m_best_long_total,adv_stack_30m_best_long_lo,adv_stack_30m_best_long_hi,adv_stack_30m_best_long_avg_move,adv_stack_30m_best_short_rate,adv_stack_30m_best_short_total,adv_stack_30m_best_short_lo,adv_stack_30m_best_short_hi,adv_stack_30m_best_short_avg_move,adv_devsig_10m_best_long_rate,adv_devsig_10m_best_long_total,adv_devsig_10m_best_long_lo,adv_devsig_10m_best_long_hi,adv_devsig_10m_best_long_avg_move,adv_devsig_10m_best_short_rate,adv_devsig_10m_best_short_total,adv_devsig_10m_best_short_lo,adv_devsig_10m_best_short_hi,adv_devsig_10m_best_short_avg_move,adv_devsig_30m_best_long_rate,adv_devsig_30m_best_long_total,adv_devsig_30m_best_long_lo,adv_devsig_30m_best_long_hi,adv_devsig_30m_best_long_avg_move,adv_devsig_30m_best_short_rate,adv_devsig_30m_best_short_total,adv_devsig_30m_best_short_lo,adv_devsig_30m_best_short_hi,adv_devsig_30m_best_short_avg_move,adv_bench_10m_best_long_rate,adv_bench_10m_best_long_total,adv_bench_10m_best_long_lo,adv_bench_10m_best_long_hi,adv_bench_10m_best_long_avg_move,adv_bench_10m_best_short_rate,adv_bench_10m_best_short_total,adv_bench_10m_best_short_lo,adv_bench_10m_best_short_hi,adv_bench_10m_best_short_avg_move,adv_bench_30m_best_long_rate,adv_bench_30m_best_long_total,adv_bench_30m_best_long_lo,adv_bench_30m_best_long_hi,adv_bench_30m_best_long_avg_move,adv_bench_30m_best_short_rate,adv_bench_30m_best_short_total,adv_bench_30m_best_short_lo,adv_bench_30m_best_short_hi,adv_bench_30m_best_short_avg_move,corr,beta
ASPN,SPY,21,21,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,16,-2.0,-2.0,0.5955,0.625,56,1.0,3.0,-0.5151,0.68,25,-3.0,-2.0,0.5012,0.6818,22,1.0,1.0,-0.7993,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,12,1.0,1.0,-0.7538,,,,,,0.6,10,-2.0,-2.0,-0.495,0.8069,2.293
ASST,IBIT,40,40,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,12,-1.0,-1.0,1.3525,,,,,,,,,,,,,,,,0.7083,24,1.0,1.0,0.54,0.7826,23,0.0,0.0,-0.7972,0.65,20,3.0,3.0,1.0854,0.6667,24,0.0,0.0,-1.1969,,,,,,,,,,,,,,,,,,,,,,,,,,0.6452,31,-2.0,-2.0,-0.475,,,,,,0.7308,26,-2.0,-2.0,-0.8832,0.8038,1.3417
ASTC,SPY,22,27,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,10,-1.0,-1.0,-5.1614,,,,,,0.7,10,-1.0,-1.0,-9.0929,,,,,,0.6,20,-15.0,-15.0,-1.7833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,12,1.0,1.0,-1.385,,,,,,0.6923,13,1.0,1.0,-2.0833,0.3085,4.2149
ASTI,SPY,36,38,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7778,18,0.0,0.0,-3.09,,,,,,0.6111,18,0.0,0.0,-3.8955,,,,,,0.6,10,-4.0,-4.0,-1.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,12,1.0,1.0,-2.8575,0.661,3.772
ASTN,IWM,40,40,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,20,0.0,0.0,7.4523,,,,,,0.8462,13,-9.0,-9.0,1.4518,0.7143,14,10.0,10.0,-1.699,0.7273,11,1.0,1.0,1.91,0.7333,15,-2.0,-2.0,-1.7127,,,,,,,,,,,,,,,,,,,,,,,,,,0.6327,98,-1.0,-1.0,-1.1479,,,,,,,,,,,-0.54,-4.4217
ASTS,IWM,40,40,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,20,0.0,0.0,-3.7669,0.8,25,-6.0,-6.0,0.6235,,,,,,0.6579,38,-1.0,-1.0,0.8032,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10,2.0,2.0,1.0567,,,,,,,,,,,,,,,,0.6264,2.5247
ASTX,IWM,40,40,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,20,0.0,0.0,-7.4046,0.6552,29,1.0,1.0,0.8779,0.6842,19,-4.0,-4.0,-0.6969,0.6591,44,-1.0,0.0,1.2331,0.6875,48,-4.0,-3.0,-1.2042,,,,,,,,,,,,,,,,,,,,,,,,,,0.6279,43,-2.0,-2.0,-0.9959,,,,,,,,,,,0.6272,5.0228
ASTY,QQQ,28,31,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,10,0.0,0.0,-7.7843,,,,,,0.8,10,0.0,0.0,-8.63,0.6,10,-15.0,-15.0,2.4433,,,,,,0.6364,11,-15.0,-15.0,2.4429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,10,0.0,0.0,-1.8843,0.7,10,-1.0,-1.0,2.79,,,,,,0.6056,3.3729
ASX,SOXX,40,40,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6596,47,-5.0,-4.0,0.4084,0.8,20,-7.0,-6.0,-0.4813,0.6429,28,0.0,0.0,0.7883,0.8,10,-6.0,-6.0,-0.5338,,,,,,,,,,,,,,,,,,,,,0.6078,51,4.0,5.0,0.3203,0.6667,27,-3.0,-3.0,-0.3139,0.6,35,-1.0,-1.0,0.9195,0.7692,26,-3.0,-3.0,-0.3885,0.7443,0.8706
ASYS,SOXX,27,32,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,12,-1.0,-1.0,-0.9844,,,,,,,,,,,,,,,,,,,,,0.6667,12,2.0,2.0,0.8562,,,,,,0.6364,11,2.0,2.0,2.4286,0.6429,14,-1.0,-1.0,-1.8511,0.8823,0.8747
ATAI,XBI,39,39,270,0.6,10,-1.0,-1.0,1.5183,,,,,,0.6,10,-1.0,-1.0,2.7833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6296,27,-2.0,-2.0,0.4206,0.65,60,-1.0,0.0,-0.5805,,,,,,0.6923,26,2.0,2.0,-0.4194,,,,,,,,,,,,,,,,,,,,,,,,,,0.6087,46,1.0,1.0,-0.3946,,,,,,0.6087,46,1.0,1.0,-0.7307,0.6817,0.9739
ATCH,SPY,31,39,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6316,19,0.0,0.0,-1.2183,0.6,10,0.0,0.0,1.8167,,,,,,0.6154,13,0.0,0.0,0.2025,0.8462,13,1.0,1.0,-1.1573,,,,,,0.6667,39,-1.0,1.0,-0.6712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6512,86,-1.0,0.0,-0.6825,0.2569,0.6716
ATEC,IHI,14,14,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6341,41,-1.0,-1.0,0.3185,0.6322,87,1.0,3.0,-0.3338,,,,,,0.6364,11,3.0,3.0,-0.9686,,,,,,,,,,,,,,,,,,,,,,,,,,0.623,61,0.0,0.0,-0.3179,,,,,,0.6429,28,-2.0,-2.0,-0.5711,0.5926,0.8902
ATEN,SPY,19,19,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7368,57,-1.0,0.0,0.2738,0.625,32,1.0,1.0,-0.2245,0.7143,21,-1.0,-1.0,0.4787,0.6,30,2.0,2.0,-0.4144,,,,,,,,,,,,,,,,,,,,,0.6094,64,-1.0,-1.0,0.3,,,,,,0.7,10,1.0,1.0,0.5843,,,,,,0.567,0.8087
ATI,IWM,10,10,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6304,46,-3.0,-2.0,0.3562,0.625,24,2.0,2.0,-0.3,0.6364,11,-3.0,-3.0,0.3714,0.7083,24,2.0,2.0,-0.4412,,,,,,,,,,,,,,,,,,,,,,,,,,0.6316,38,1.0,1.0,-0.2371,0.6,20,-2.0,-2.0,0.485,,,,,,0.8178,1.4452
ATLN,SPY,13,16,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7083,24,15.0,15.0,-6.0306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,10,1.0,1.0,-2.7363,,,,,,0.6,10,1.0,1.0,-2.5167,0.2934,2.0535
ATLX,GDX,30,32,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6364,11,1.0,1.0,0.7314,0.7273,11,-3.0,-3.0,-0.3087,,,,,,0.7059,17,-3.0,-3.0,-0.8092,,,,,,,,,,,,,,,,,,,,,0.6,10,-1.0,-1.0,0.635,0.7,10,-3.0,-3.0,-0.4643,0.7692,13,1.0,1.0,0.849,0.64,25,-4.0,-3.0,-0.8263,0.6449,0.4077
ATOM,QQQ,37,37,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7692,13,0.0,0.0,-3.272,,,,,,0.6923,13,0.0,0.0,-4.3689,0.7273,11,2.0,2.0,0.8475,0.7273,11,-8.0,-8.0,-0.4225,0.6667,36,-2.0,0.0,1.2567,0.6364,11,-3.0,-3.0,-0.7571,,,,,,,,,,,,,,,,,,,,,0.7188,32,1.0,1.0,1.0309,,,,,,0.6,30,1.0,1.0,1.8461,0.6364,11,2.0,2.0,-1.2929,0.8314,2.1031
ATPC,SPY,17,26,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3265,3.114
ATRO,IWM,16,16,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,24,0.0,0.0,0.3547,,,,,,0.6923,26,0.0,0.0,0.6289,0.6154,13,-1.0,-1.0,-0.3938,,,,,,,,,,,,,,,,,,,,,0.6071,28,1.0,1.0,0.3329,,,,,,,,,,,,,,,,0.8001,1.6046
ATYR,SPY,30,32,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10,-1.0,-1.0,-3.0567,,,,,,,,,,,0.6944,36,0.0,1.0,0.8456,0.6667,15,5.0,5.0,-0.545,0.6667,15,-3.0,-3.0,0.82,0.7143,28,-2.0,-1.0,-0.8205,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10,1.0,1.0,-0.7717,,,,,,,,,,,0.5882,2.308
AU,GDX,40,40,300,0.6364,11,-1.0,-1.0,0.5586,,,,,,,,,,,0.7273,11,-1.0,-1.0,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8824,17,-6.0,-6.0,-0.4593,0.6,15,-6.0,-6.0,0.2189,0.6333,30,3.0,4.0,-0.5216,,,,,,,,,,,,,,,,,,,,,,,,,,0.6066,61,-4.0,-3.0,-0.3503,0.6667,39,-5.0,-4.0,0.3019,0.6452,31,-2.0,-2.0,-0.5635,0.9457,1.2588
AUGO,GDX,26,26,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6327,49,-4.0,-1.0,-0.4487,0.6667,12,3.0,3.0,0.7187,0.619,21,-2.0,-1.0,-0.57,,,,,,,,,,,,,,,,,,,,,0.6364,11,3.0,3.0,0.54,0.678,59,-4.0,-2.0,-0.443,0.65,20,1.0,1.0,0.8762,0.6216,37,-4.0,-3.0,-0.6922,0.906,1.0875
AUPH,XBI,32,34,221,,,,,,,,,,,,,,,,0.6154,13,0.0,0.0,-1.1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6364,22,-1.0,-1.0,-0.2707,0.64,25,-2.0,-2.0,0.4344,0.625,24,-1.0,-1.0,-0.5433,,,,,,,,,,,,,,,,,,,,,0.7,10,3.0,3.0,0.2657,0.6667,39,1.0,1.0,-0.3385,0.6154,26,-1.0,-1.0,0.4431,,,,,,0.6041,0.6686
AUR,SPY,40,40,322,,,,,,,,,,,0.6364,11,-1.0,-1.0,2.9743,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,14,-1.0,-1.0,1.478,0.7143,21,0.0,0.0,-1.2507,,,,,,,,,,,0.6286,35,0.0,0.0,0.4441,0.6667,15,-4.0,-4.0,-0.361,0.6471,17,-3.0,-3.0,0.5564,0.6667,27,-6.0,-5.0,-0.5622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6774,1.6862
AUTL,XBI,24,26,178,,,,,,,,,,,,,,,,0.6,10,0.0,0.0,-2.3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8182,11,4.0,4.0,-0.4467,0.6429,14,1.0,1.0,1.0522,0.6923,13,-4.0,-4.0,-0.8344,,,,,,,,,,,,,,,,,,,,,,,,,,0.6212,66,0.0,2.0,-0.4593,,,,,,0.6486,37,1.0,2.0,-0.6063,0.5926,0.5379
AUUD,SPY,30,36,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7391,23,15.0,15.0,-2.8594,,,,,,0.6087,23,15.0,15.0,-5.0357,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,135,-2.0,0.0,-1.4506,,,,,,0.6522,46,0.0,0.0,-1.453,0.0877,0.4179
AVAH,IHF,18,18,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6731,52,2.0,4.0,-0.3137,,,,,,0.6303,119,0.0,4.0,-0.6268,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,40,0.0,0.0,-0.3525,,,,,,,,,,,0.0941,0.2419
AVAT,XLF,16,21,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,25,0.0,0.0,2.108,,,,,,,,,,,,,,,,0.3038,2.1469
AVAV,ITA,38,38,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6571,35,-4.0,-3.0,0.5387,0.6,30,-2.0,-2.0,-0.3811,0.6842,19,1.0,1.0,0.5138,0.6875,32,-2.0,-2.0,-0.5055,,,,,,,,,,,,,,,,,,,,,0.7188,32,1.0,1.0,0.7096,0.625,32,-2.0,-2.0,-0.3165,0.6667,30,1.0,1.0,0.8725,0.6875,32,-2.0,-2.0,-0.6527,0.6042,1.6701
AVEX,SPY,40,40,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7429,35,-1.0,0.0,-2.9392,,,,,,0.7143,14,-1.0,-1.0,-3.646,,,,,,0.76,25,-6.0,-5.0,-0.8095,0.6667,12,-10.0,-10.0,0.46,0.65,40,1.0,3.0,-0.6896,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,10,-2.0,-2.0,-0.4925,,,,,,0.7273,11,-2.0,-2.0,-0.68,0.3668,1.6896
AVGG,QQQ,35,39,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,12,0.0,0.0,-3.03,0.6667,15,-15.0,-15.0,0.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,40,-1.0,-1.0,0.8268,,,,,,0.64,25,0.0,0.0,1.3769,,,,,,0.8639,3.3158
AVGO,SMH,40,40,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6452,31,-4.0,-4.0,-0.134,,,,,,,,,,,,,,,,,,,,,0.61,100,0.0,0.0,0.223,0.75,12,-7.0,-7.0,-0.2822,0.6092,87,1.0,1.0,0.3742,0.6087,23,-5.0,-5.0,-0.3336,0.8357,0.6707
AVGU,QQQ,27,33,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10,-15.0,-15.0,1.0783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8638,3.3551
AVGX,QQQ,39,40,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,10,-1.0,-1.0,-1.4357,,,,,,0.75,12,0.0,0.0,-3.0244,0.6667,12,2.0,2.0,0.6213,0.6923,13,-5.0,-5.0,-0.3822,0.7308,26,-3.0,-2.0,0.8863,0.6,10,8.0,8.0,-0.945,,,,,,,,,,,,,,,,,,,,,,,,,,0.6923,13,2.0,2.0,-0.4778,,,,,,0.7,10,-3.0,-3.0,-1.1443,0.8494,3.2627
AVL,QQQ,39,40,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6154,13,0.0,0.0,-2.46,,,,,,0.6429,14,0.0,0.0,-2.8411,0.7273,11,2.0,2.0,0.5587,0.7,10,6.0,6.0,-0.2086,0.6444,45,0.0,3.0,1.089,0.6,10,-4.0,-4.0,-0.94,,,,,,,,,,,,,,,,,,,,,,,,,,0.6129,31,1.0,1.0,-0.5695,0.6,10,2.0,2.0,0.8983,,,,,,0.8569,3.2572
AVO,XLP,10,10,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,21,-3.0,-3.0,0.238,0.6395,86,-2.0,0.0,-0.2805,0.6364,22,-3.0,-3.0,0.5664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6296,54,-1.0,-1.0,-0.2682,,,,,,,,,,,0.2375,0.3616
AVPT,IGV,28,28,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6562,32,0.0,0.0,0.1905,0.625,32,2.0,2.0,-0.2765,0.7027,37,0.0,0.0,0.4781,0.6452,31,2.0,2.0,-0.4395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,16,2.0,2.0,0.548,,,,,,0.802,0.9834
AVR,IWM,16,18,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,18,-4.0,-4.0,0.4292,0.6667,42,-2.0,-1.0,-0.3789,,,,,,0.6098,41,-2.0,-1.0,-0.5844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5323,0.7621
AVS,IWM,37,37,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6316,19,0.0,0.0,1.0325,,,,,,0.6842,19,0.0,0.0,1.4985,,,,,,,,,,,0.6667,36,-2.0,-1.0,-0.3517,0.7692,13,-5.0,-5.0,0.628,0.6667,66,-3.0,0.0,-0.498,,,,,,,,,,,,,,,,,,,,,0.6087,23,-2.0,-2.0,0.705,0.633,109,-1.0,0.0,-0.3081,,,,,,0.6491,57,0.0,0.0,-0.4854,-0.5761,-1.5858
AVT,SOXX,12,14,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6129,31,1.0,1.0,0.2274,0.6429,28,-1.0,-1.0,-0.1794,0.6296,27,-2.0,-2.0,0.5541,0.6,25,0.0,0.0,-0.274,,,,,,,,,,,,,,,,,,,,,,,,,,0.6364,11,5.0,5.0,-0.1886,0.6429,14,2.0,2.0,0.4011,0.7059,17,3.0,3.0,-0.3508,0.9126,0.4125
AVTR,IHI,14,14,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,70,-2.0,-1.0,0.3036,0.619,42,1.0,1.0,-0.2773,0.6364,22,3.0,4.0,0.6536,0.6667,18,-3.0,-3.0,-0.41,,,,,,,,,,,,,,,,,,,,,0.6279,43,1.0,1.0,0.2959,0.7692,13,2.0,2.0,-0.359,,,,,,0.6429,42,-3.0,-2.0,-0.39,0.2314,0.338
AVTX,XBI,11,12,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6731,52,0.0,2.0,-0.44,0.619,21,1.0,1.0,0.5538,0.6111,18,-2.0,-2.0,-0.7845,,,,,,,,,,,,,,,,,,,,,,,,,,0.7273,22,-4.0,-3.0,-0.4913,,,,,,0.65,20,-4.0,-3.0,-0.8308,0.7197,0.8607
AVUV,IWM,20,20,234,,,,,,0.6429,14,0.0,0.0,-0.7222,0.6154,13,0.0,0.0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6364,11,-2.0,-2.0,-0.1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,21,-2.0,-2.0,0.1529,,,,,,,,,,,0.7,10,-3.0,-3.0,-0.09,0.8982,0.4361
AVXL,IWM,11,12,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,10,6.0,6.0,-0.4289,0.7,10,1.0,1.0,0.66,0.7174,46,-3.0,-1.0,-0.7218,,,,,,,,,,,,,,,,,,,,,,,,,,0.7059,85,0.0,1.0,-0.448,,,,,,0.6905,84,0.0,1.0,-0.709,0.6077,0.7901
AVXX,SPY,36,37,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7188,32,-1.0,0.0,-5.1917,,,,,,0.6538,26,-1.0,0.0,-6.7182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5291,3.7806
AXGN,IWM,18,19,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10,0.0,0.0,-0.935,,,,,,,,,,,0.8125,16,-2.0,-2.0,0.3923,0.7,20,2.0,2.0,-0.4779,0.6538,26,1.0,1.0,0.5018,0.6061,33,-1.0,-1.0,-0.5635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.614,57,-1.0,-1.0,-0.6186,0.6413,0.8102
AXIA,IWM,39,39,227,,,,,,,,,,,,,,,,0.6,10,-1.0,-1.0,-0.4267,,,,,,,,,,,,,,,,,,,,,,,,,,0.7273,11,-1.0,-1.0,-0.49,,,,,,,,,,,,,,,,0.625,72,-1.0,0.0,-0.1613,0.6364,33,-4.0,-3.0,0.3743,0.7083,24,0.0,0.0,-0.3865,,,,,,,,,,,,,,,,,,,,,,,,,,0.6242,165,-1.0,1.0,-0.1813,0.6111,18,-2.0,-2.0,0.3491,,,,,,0.4378,0.9667
AXON,ITA,35,35,250,,,,,,,,,,,,,,,,0.6154,13,0.0,0.0,-2.2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,10,5.0,5.0,0.4014,0.6479,71,-2.0,0.0,-0.3354,0.7143,14,-4.0,-4.0,0.874,0.6571,35,1.0,1.0,-0.5743,,,,,,,,,,,,,,,,,,,,,,,,,,0.7647,34,-2.0,-2.0,-0.2969,,,,,,,,,,,0.2035,0.4267
AXP,XLF,33,33,250,,,,,,,,,,,,,,,,0.6923,13,-1.0,-1.0,-0.6056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6324,68,-1.0,-1.0,0.1349,0.75,16,-2.0,-2.0,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7809,1.184
AXSM,XBI,13,14,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,12,1.0,1.0,0.215,,,,,,0.6786,28,1.0,2.0,0.6268,,,,,,,,,,,,,,,,,,,,,,,,,,0.6452,31,0.0,0.0,0.353,0.619,21,1.0,1.0,-0.2777,0.6389,36,0.0,0.0,0.4461,,,,,,0.3461,0.2923
AXTA,XLB,20,20,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.717,53,2.0,3.0,-0.2374,,,,,,0.6545,55,2.0,3.0,-0.3808,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,55,-1.0,-1.0,-0.2161,,,,,,0.7778,36,-3.0,-2.0,-0.2143,0.5918,1.426
