ticker_a,ticker_b,bench,PRE_total,PRE_converged,PRE_unresolved,PRE_hard,PRE_soft,PRE_rate,PRE_rate_lb,PRE_wins,PRE_win_rate,PRE_win_rate_lb,PRE_alpha,PRE_alpha_z,PRE_sigma,PRE_sigma_rate,PRE_sigma_n,PRE_gamma,PRE_gamma_rate,PRE_gamma_n,PRE_gamma_cap,PRE_avg_peak,PRE_p90_peak,PRE_median_bars,PRE_cap_mean,PRE_cap_p50,PRE_cap_p10,PRE_cap_lb,PRE_cap_conv_mean,PRE_conv_per_day,PRE_total_per_day,PRE_score,PRE_long_total,PRE_long_rate,PRE_long_alpha,PRE_short_total,PRE_short_rate,PRE_short_alpha,PRE_alpha_pos,PRE_alpha_neg,PRE_sigma_pos,PRE_sigma_rate_pos,PRE_sigma_n_pos,PRE_sigma_neg,PRE_sigma_rate_neg,PRE_sigma_n_neg,PRE_gamma_pos,PRE_gamma_rate_pos,PRE_gamma_n_pos,PRE_gamma_cap_pos,PRE_gamma_neg,PRE_gamma_rate_neg,PRE_gamma_n_neg,PRE_gamma_cap_neg,PRE_corr,PRE_beta,PRE_alpha_ols,PRE_resid_std,PRE_mr_lambda,PRE_half_life,PRE_beta_drift,PRE_adf_t,PRE_adf_p,PRE_adf_stationary_5pct,PRE_n_bars,PRE_n_days,OPEN_total,OPEN_converged,OPEN_unresolved,OPEN_hard,OPEN_soft,OPEN_rate,OPEN_rate_lb,OPEN_wins,OPEN_win_rate,OPEN_win_rate_lb,OPEN_alpha,OPEN_alpha_z,OPEN_sigma,OPEN_sigma_rate,OPEN_sigma_n,OPEN_gamma,OPEN_gamma_rate,OPEN_gamma_n,OPEN_gamma_cap,OPEN_avg_peak,OPEN_p90_peak,OPEN_median_bars,OPEN_cap_mean,OPEN_cap_p50,OPEN_cap_p10,OPEN_cap_lb,OPEN_cap_conv_mean,OPEN_conv_per_day,OPEN_total_per_day,OPEN_score,OPEN_long_total,OPEN_long_rate,OPEN_long_alpha,OPEN_short_total,OPEN_short_rate,OPEN_short_alpha,OPEN_alpha_pos,OPEN_alpha_neg,OPEN_sigma_pos,OPEN_sigma_rate_pos,OPEN_sigma_n_pos,OPEN_sigma_neg,OPEN_sigma_rate_neg,OPEN_sigma_n_neg,OPEN_gamma_pos,OPEN_gamma_rate_pos,OPEN_gamma_n_pos,OPEN_gamma_cap_pos,OPEN_gamma_neg,OPEN_gamma_rate_neg,OPEN_gamma_n_neg,OPEN_gamma_cap_neg,OPEN_corr,OPEN_beta,OPEN_alpha_ols,OPEN_resid_std,OPEN_mr_lambda,OPEN_half_life,OPEN_beta_drift,OPEN_adf_t,OPEN_adf_p,OPEN_adf_stationary_5pct,OPEN_n_bars,OPEN_n_days,INTRA_total,INTRA_converged,INTRA_unresolved,INTRA_hard,INTRA_soft,INTRA_rate,INTRA_rate_lb,INTRA_wins,INTRA_win_rate,INTRA_win_rate_lb,INTRA_alpha,INTRA_alpha_z,INTRA_sigma,INTRA_sigma_rate,INTRA_sigma_n,INTRA_gamma,INTRA_gamma_rate,INTRA_gamma_n,INTRA_gamma_cap,INTRA_avg_peak,INTRA_p90_peak,INTRA_median_bars,INTRA_cap_mean,INTRA_cap_p50,INTRA_cap_p10,INTRA_cap_lb,INTRA_cap_conv_mean,INTRA_conv_per_day,INTRA_total_per_day,INTRA_score,INTRA_long_total,INTRA_long_rate,INTRA_long_alpha,INTRA_short_total,INTRA_short_rate,INTRA_short_alpha,INTRA_alpha_pos,INTRA_alpha_neg,INTRA_sigma_pos,INTRA_sigma_rate_pos,INTRA_sigma_n_pos,INTRA_sigma_neg,INTRA_sigma_rate_neg,INTRA_sigma_n_neg,INTRA_gamma_pos,INTRA_gamma_rate_pos,INTRA_gamma_n_pos,INTRA_gamma_cap_pos,INTRA_gamma_neg,INTRA_gamma_rate_neg,INTRA_gamma_n_neg,INTRA_gamma_cap_neg,INTRA_corr,INTRA_beta,INTRA_alpha_ols,INTRA_resid_std,INTRA_mr_lambda,INTRA_half_life,INTRA_beta_drift,INTRA_adf_t,INTRA_adf_p,INTRA_adf_stationary_5pct,INTRA_n_bars,INTRA_n_days
APLD,CIFU,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,15.0,2.0,2.0,13.0,0.882353,0.656632,12.0,0.705882,0.468665,1.949494,0.763718,,,0.0,,,0.0,,3.205705,6.174233,28.0,0.47496,0.650825,-0.872492,-0.074435,0.568087,0.272727,0.309091,0.272727,7.0,1.0,4.46129,10.0,0.8,1.602182,4.46129,1.602182,,,0.0,,,0.0,,,0.0,,,,0.0,,0.712133,0.248099,0.320234,2.552635,-0.012234,56.30975,0.001228,,,,1547.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLD,IRE,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,39.0,5.0,15.0,24.0,0.886364,0.760206,28.0,0.636364,0.488661,1.965394,0.717236,,,0.0,,,0.0,,2.836055,5.57808,48.0,0.241207,0.577324,-1.773097,-0.204972,0.340363,0.65,0.733333,0.65,26.0,0.8846,1.764701,18.0,0.8889,2.112579,1.764701,2.112579,,,0.0,,,0.0,,,0.0,,,,0.0,,0.74209,0.371596,-0.065514,2.740235,-0.003553,194.714603,0.002398,,,,3299.0,60.0,84.0,66.0,18.0,34.0,32.0,0.785714,0.686505,51.0,0.607143,0.500216,2.512913,0.725329,,,0.0,,,0.0,,3.288458,6.385489,135.5,0.141987,0.670435,-2.025732,-0.222366,0.391551,1.1,1.4,1.1,45.0,0.8444,2.508526,39.0,0.7179,2.512913,2.508526,2.512913,,,0.0,,,0.0,,,0.0,,,,0.0,,0.764565,0.357458,-0.727326,3.464514,-0.000279,2488.314848,0.004153,,,,22451.0,60.0
APLD,IREG,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,31.0,5.0,4.0,27.0,0.861111,0.713401,21.0,0.583333,0.422,2.174437,0.775018,,,0.0,,,0.0,,3.14263,6.32726,31.0,0.094581,0.347072,-1.768856,-0.385954,0.281834,0.516667,0.6,0.516667,23.0,0.8696,1.913149,13.0,0.8462,2.385306,1.913149,2.385306,,,0.0,,,0.0,,,0.0,,,,0.0,,0.737583,0.366544,-0.110789,2.805659,-0.006454,107.050741,0.016665,,,,2360.0,60.0,83.0,66.0,17.0,31.0,35.0,0.795181,0.696243,51.0,0.614458,0.506899,2.404305,0.68933,,,0.0,,,0.0,,3.231089,6.3911,82.5,0.136085,0.707906,-1.949412,-0.229553,0.379037,1.1,1.383333,1.1,44.0,0.8636,1.956611,39.0,0.7179,2.554297,1.956611,2.554297,,,0.0,,,0.0,,,0.0,,,,0.0,,0.744704,0.354874,-0.726566,3.487888,-0.001153,600.806124,0.014447,,,,14333.0,60.0
APLD,IREX,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,36.0,4.0,10.0,26.0,0.9,0.769479,24.0,0.6,0.445956,2.056769,0.719576,,,0.0,,,0.0,,3.102623,6.143997,35.5,0.045466,0.456884,-1.88384,-0.464897,0.170721,0.610169,0.677966,0.610169,24.0,0.9167,2.0108,16.0,0.875,2.169665,2.0108,2.169665,,,0.0,,,0.0,,,0.0,,,,0.0,,0.745713,0.364526,-0.122758,2.858305,-0.004788,144.430695,0.018808,,,,2636.0,59.0,82.0,65.0,17.0,31.0,34.0,0.792683,0.692832,51.0,0.621951,0.513769,2.300168,0.649278,,,0.0,,,0.0,,3.330614,6.743133,115.0,0.164238,0.767379,-2.187063,-0.20889,0.36775,1.101695,1.389831,1.101695,43.0,0.8605,1.957553,39.0,0.7179,2.49136,1.957553,2.49136,,,0.0,,,0.0,,,0.0,,,,0.0,,0.74083,0.357992,-0.812378,3.542653,-0.000757,915.281354,0.010007,,,,17984.0,59.0
APLD,NCLD,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,4.0,4.0,1.0,0.675584,5.0,0.625,0.305738,1.40299,0.66729,,,0.0,,,0.0,,1.800398,3.225317,24.0,0.032045,0.724973,-2.027493,-1.104486,0.032045,0.296296,0.296296,0.296296,4.0,1.0,1.40299,4.0,1.0,1.598382,1.40299,1.598382,,,0.0,,,0.0,,,0.0,,,,0.0,,0.762092,0.749855,-0.072162,2.102519,-0.004993,138.484296,0.680002,,,,1025.0,27.0,28.0,23.0,5.0,8.0,15.0,0.821429,0.644082,14.0,0.5,0.326328,2.061851,0.747152,,,0.0,,,0.0,,2.909048,4.51284,133.0,-0.126687,0.094221,-2.403,-0.618504,0.035552,0.851852,1.037037,0.851852,15.0,0.9333,1.971683,13.0,0.6923,2.298388,1.971683,2.298388,,,0.0,,,0.0,,,0.0,,,,0.0,,0.785754,0.752109,-0.480664,2.759616,2.2e-05,,0.58934,,,,7665.0,27.0
APLD,WGMI,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,1.0,2.0,4.0,0.857143,0.486865,2.0,0.285714,0.082217,2.366078,0.920733,,,0.0,,,0.0,,3.337031,6.11926,31.0,-0.286892,-0.370343,-1.50829,-1.278166,-0.054405,0.105263,0.122807,0.105263,5.0,0.8,3.235168,2.0,1.0,2.060476,3.235168,2.060476,,,0.0,,,0.0,,,0.0,,,,0.0,,0.814463,0.832234,0.040496,2.569775,-0.009467,72.870313,0.070476,,,,1815.0,57.0,60.0,49.0,11.0,23.0,26.0,0.816667,0.7008,36.0,0.6,0.473658,1.929678,0.668255,,,0.0,,,0.0,,2.928061,5.906237,109.0,0.24202,0.677756,-1.292835,-0.111093,0.48726,0.859649,1.052632,0.859649,35.0,0.9143,1.70288,25.0,0.68,2.011582,1.70288,2.011582,1.0,0.85,20.0,,,0.0,,,0.0,,,,0.0,,0.812704,0.866903,-0.451404,2.887637,-0.001484,466.74764,0.109559,,,,16204.0,57.0
APLD,WULF,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,35.0,9.0,9.0,26.0,0.795455,0.654991,29.0,0.659091,0.511389,2.36056,0.792497,,,0.0,2.5,0.727273,11.0,1.216576,3.241936,5.800872,41.0,0.220655,0.667054,-1.759288,-0.411107,0.456295,0.614035,0.77193,0.614035,22.0,0.9545,2.36056,22.0,0.6364,2.546451,2.36056,2.546451,,,0.0,,,0.0,,,0.0,,,,0.0,,0.702155,0.622433,-0.055058,2.978638,-0.002582,268.146584,0.104098,,,,2983.0,57.0,74.0,55.0,19.0,28.0,27.0,0.743243,0.633453,44.0,0.594595,0.480756,2.15499,0.616452,3.5,0.428571,7.0,,,0.0,,3.324496,6.836876,250.0,0.209756,0.619616,-1.818415,-0.146011,0.579214,0.964912,1.298246,0.964912,41.0,0.7561,1.730613,33.0,0.7273,2.46962,1.730613,2.46962,,,0.0,3.5,0.6,5.0,,,0.0,,,,0.0,,0.754116,0.772655,-0.252077,3.495794,-0.000534,1298.847324,0.057051,,,,21432.0,57.0
APLX,BLOX,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,2.0,0.0,4.0,0.666667,0.299988,4.0,0.666667,0.299988,2.133922,0.315319,,,0.0,,,0.0,,2.565914,3.729085,11.0,0.653452,1.038537,-1.630709,-0.906528,0.944666,0.072727,0.109091,0.072727,2.0,1.0,1.789648,4.0,0.5,3.342181,1.789648,3.342181,,,0.0,,,0.0,,,0.0,,,,0.0,,0.701422,2.649398,-0.133729,6.767491,-0.012349,55.780955,0.912579,,,,1508.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLX,CIFU,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,13.0,1.0,0.0,13.0,0.928571,0.685307,11.0,0.785714,0.524103,4.528578,0.899551,,,0.0,,,0.0,,6.282904,11.908167,17.0,1.426579,1.701044,-1.368935,0.089483,1.627,0.236364,0.254545,0.236364,6.0,1.0,9.007876,8.0,0.875,4.307991,9.007876,4.307991,,,0.0,,,0.0,,,0.0,,,,0.0,,0.707706,0.503816,0.490596,5.034262,-0.012614,54.601295,0.024292,,,,1457.0,55.0,66.0,49.0,17.0,14.0,35.0,0.742424,0.625667,41.0,0.621212,0.500583,4.520502,0.674144,,,0.0,,,0.0,,6.146564,11.348345,76.0,0.440949,0.827361,-4.774599,-0.500416,0.538468,0.890909,1.2,0.890909,35.0,0.7143,4.520502,31.0,0.7742,4.503843,4.520502,4.503843,2.1,0.714286,7.0,,,0.0,,,0.0,,,,0.0,,0.701989,0.510513,-0.899659,6.705547,-0.001549,447.034605,0.03378,,,,8242.0,55.0
APLX,IRE,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,41.0,12.0,3.0,38.0,0.773585,0.644735,30.0,0.566038,0.432651,4.219075,0.723606,,,0.0,3.0,0.636364,11.0,1.260233,6.054268,11.047359,34.0,0.436115,0.885394,-3.356392,-0.571678,0.518306,0.683333,0.883333,0.683333,30.0,0.7667,3.539079,23.0,0.7826,4.326357,3.539079,4.326357,,,0.0,,,0.0,2.5,0.818182,11.0,1.539783,,,0.0,,0.746165,0.730798,-0.380914,5.830624,-0.004934,140.144918,0.006584,,,,2650.0,60.0,97.0,81.0,16.0,42.0,39.0,0.835052,0.748734,59.0,0.608247,0.508759,3.476371,0.486376,,,0.0,,,0.0,,5.505376,11.455785,113.0,-0.097477,1.043585,-4.673671,-0.750148,0.350021,1.35,1.616667,1.35,53.0,0.8868,3.472597,44.0,0.7727,4.065962,3.472597,4.065962,,,0.0,,,0.0,,,0.0,,,,0.0,,0.744136,0.7241,-1.619245,7.147504,-0.000648,1069.821749,0.024224,,,,18838.0,60.0
APLX,IREG,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,27.0,8.0,0.0,27.0,0.771429,0.609824,21.0,0.6,0.435724,4.271153,0.742431,,,0.0,,,0.0,,6.539955,11.755184,29.0,0.609671,0.593338,-3.772842,-0.457193,0.800967,0.45,0.583333,0.45,23.0,0.7391,3.99297,12.0,0.8333,4.708381,3.99297,4.708381,,,0.0,,,0.0,,,0.0,,,,0.0,,0.737763,0.725328,-0.426953,5.752929,-0.006871,100.533105,0.023185,,,,2123.0,60.0,81.0,65.0,16.0,26.0,39.0,0.802469,0.702954,44.0,0.54321,0.435238,4.875034,0.68682,,,0.0,,,0.0,,6.32653,12.298257,99.0,-0.311412,0.976216,-4.951552,-1.083253,0.180009,1.083333,1.35,1.083333,41.0,0.8537,3.883526,40.0,0.75,5.697833,3.883526,5.697833,,,0.0,,,0.0,,,0.0,,,,0.0,,0.748787,0.717002,-1.595503,7.097982,-0.001259,550.017848,0.020182,,,,12395.0,60.0
APLX,IREX,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,32.0,9.0,0.0,32.0,0.780488,0.632947,25.0,0.609756,0.457266,4.117499,0.690458,,,0.0,,,0.0,,6.525377,12.399145,32.5,0.320535,0.821107,-4.460205,-0.757455,0.281725,0.542373,0.694915,0.542373,25.0,0.72,4.197722,16.0,0.875,4.117499,4.197722,4.117499,,,0.0,,,0.0,,,0.0,,,,0.0,,0.747538,0.720299,-0.400563,5.963433,-0.004868,142.029397,0.030912,,,,2303.0,59.0,96.0,78.0,18.0,41.0,37.0,0.8125,0.722976,59.0,0.614583,0.514605,3.524582,0.485784,,,0.0,,,0.0,,5.667555,12.362415,94.0,-0.099726,1.047073,-4.94216,-0.765306,0.337356,1.322034,1.627119,1.322034,51.0,0.8824,3.515849,45.0,0.7333,3.533314,3.515849,3.533314,,,0.0,,,0.0,,,0.0,,,,0.0,,0.744981,0.723742,-1.761975,7.255444,-0.000811,854.508787,0.001983,,,,15468.0,59.0
APLX,NCLD,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,1.0,0.0,6.0,0.857143,0.486865,3.0,0.428571,0.158217,3.290323,0.733589,,,0.0,,,0.0,,4.111272,7.407501,29.0,-0.329117,-0.627266,-3.290083,-2.537439,-0.131658,0.222222,0.259259,0.222222,4.0,0.75,2.151795,3.0,1.0,4.428852,2.151795,4.428852,,,0.0,,,0.0,,,0.0,,,,0.0,,0.748146,1.523866,-0.29994,4.485241,-0.006568,105.190077,1.442696,,,,941.0,27.0,43.0,37.0,6.0,20.0,17.0,0.860465,0.727361,30.0,0.697674,0.548944,2.497133,0.434077,1.5,0.894737,19.0,,,0.0,,4.189517,7.277572,89.0,0.063115,0.980853,-3.066463,-0.661457,0.179929,1.37037,1.592593,1.37037,25.0,0.88,2.714476,18.0,0.8333,2.280104,2.714476,2.280104,1.4,0.9,10.0,,,0.0,,,0.0,,,,0.0,,0.781632,1.549406,-1.340538,5.752749,-0.000219,3166.389628,1.200169,,,,6605.0,27.0
APLX,WGMI,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,2.0,0.0,8.0,0.8,0.490157,3.0,0.3,0.107789,4.234273,0.799143,,,0.0,,,0.0,,5.771988,10.690291,30.5,-1.376975,-1.220034,-4.82508,-3.347409,-0.385331,0.140351,0.175439,0.140351,6.0,0.6667,6.387129,4.0,1.0,3.83845,6.387129,3.83845,,,0.0,,,0.0,,,0.0,,,,0.0,,0.819023,1.643864,-0.120224,5.298515,-0.008594,80.30959,0.159596,,,,1740.0,57.0,89.0,75.0,14.0,40.0,35.0,0.842697,0.75311,62.0,0.696629,0.594627,2.593561,0.430927,,,0.0,,,0.0,,4.270116,9.505174,94.0,0.485928,1.07591,-2.825062,-0.024162,0.915087,1.315789,1.561404,1.315789,46.0,0.9348,2.682258,43.0,0.7442,1.942582,2.682258,1.942582,,,0.0,,,0.0,,,0.0,,,,0.0,,0.812849,1.73849,-1.058101,6.018564,-0.001568,441.810423,0.264403,,,,13955.0,57.0
APLX,WULF,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,38.0,10.0,6.0,32.0,0.791667,0.657408,30.0,0.625,0.483625,4.559876,0.72743,,,0.0,,,0.0,,6.377239,11.541152,33.0,0.135799,0.974395,-5.553767,-1.120422,0.607868,0.666667,0.842105,0.666667,24.0,0.8333,4.559876,24.0,0.75,4.861125,4.559876,4.861125,,,0.0,,,0.0,,,0.0,,2.5,0.833333,12.0,1.413298,0.715006,1.248721,-0.239027,6.268473,-0.00311,222.527187,0.115708,,,,2423.0,57.0,89.0,69.0,20.0,34.0,35.0,0.775281,0.678224,53.0,0.595506,0.49164,3.423657,0.467867,,,0.0,,,0.0,,5.527324,12.001608,127.0,0.204624,0.896458,-3.535624,-0.40887,0.793531,1.210526,1.561404,1.210526,45.0,0.7778,3.221837,44.0,0.7727,3.577208,3.221837,3.577208,,,0.0,,,0.0,,,0.0,,,,0.0,,0.72664,1.563715,-0.552016,7.317579,-0.00105,659.778739,0.051374,,,,18040.0,57.0
ARKB,BITB,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,3.0,1.0,0.438494,1.0,0.333333,0.06149,1.959175,4.171102,,,0.0,,,0.0,,1.75324,2.575218,30.0,-0.031686,-0.059241,-0.059314,-0.085783,-0.031686,0.057692,0.057692,0.057692,2.0,1.0,1.650273,1.0,1.0,1.959175,1.650273,1.959175,,,0.0,,,0.0,,,0.0,,,,0.0,,0.979874,0.988244,-0.004954,0.469702,-0.007855,87.891546,0.015584,,,,1686.0,52.0,2.0,2.0,0.0,0.0,2.0,1.0,0.342372,1.0,0.5,0.094529,2.451687,4.761149,,,0.0,,,0.0,,2.451687,2.67906,339.0,-0.067783,-0.067783,-0.14125,-0.247776,-0.067783,0.038462,0.038462,0.038462,1.0,1.0,2.735904,1.0,1.0,2.167469,2.735904,2.167469,,,0.0,,,0.0,,,0.0,,,,0.0,,0.969974,1.024068,-0.00115,0.514936,-0.003876,178.501101,0.040326,,,,15774.0,52.0
ARKB,GSOL,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,0.0,2.0,0.666667,0.207655,0.0,0.0,0.0,1.978011,1.366694,,,0.0,,,0.0,,1.978011,2.704196,24.0,-0.251527,-0.265511,-0.296346,-0.32026,-0.284783,0.035088,0.052632,0.035088,0.0,,,3.0,0.6667,1.978011,,1.978011,,,0.0,,,0.0,,,0.0,,,,0.0,,0.877505,0.564089,-0.128112,1.447296,0.000939,,0.025835,,,,1490.0,57.0,30.0,19.0,11.0,4.0,15.0,0.633333,0.455132,16.0,0.533333,0.36142,2.386131,1.363512,,,0.0,,,0.0,,2.741802,5.089108,209.0,-0.11355,0.06153,-1.660966,-0.441171,-0.181561,0.333333,0.526316,0.333333,14.0,0.7143,2.155942,16.0,0.5625,2.580883,2.155942,2.580883,,,0.0,,,0.0,,,0.0,,,,0.0,,0.786165,0.540849,-0.047684,1.749989,-0.000127,5440.713687,0.066731,,,,14310.0,57.0
ARKB,XBCI,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.206543,1.0,1.0,0.206543,7.076938,5.420734,,,0.0,,,0.0,,7.076938,7.076938,28.0,0.184801,0.184801,0.184801,,0.184801,0.017544,0.017544,0.017544,1.0,1.0,7.076938,0.0,,,7.076938,,,,0.0,,,0.0,,,0.0,,,,0.0,,0.804466,0.724017,0.115475,1.305531,-0.009255,74.55072,0.271525,,,,1115.0,57.0,6.0,6.0,0.0,0.0,6.0,1.0,0.609657,2.0,0.333333,0.096769,2.693022,1.979433,,,0.0,,,0.0,,3.571243,5.454379,126.5,-0.230932,-0.258199,-0.463118,-0.421013,-0.230932,0.105263,0.105263,0.105263,5.0,1.0,2.751115,1.0,1.0,2.575727,2.751115,2.575727,,,0.0,,,0.0,,,0.0,,,,0.0,,0.831304,0.81845,0.090817,1.360502,-0.00347,199.411057,0.30305,,,,8238.0,57.0
ARKB,XRP,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,6.0,8.0,0.0,6.0,0.428571,0.213805,4.0,0.285714,0.117212,1.331072,1.085388,,,0.0,,,0.0,,1.553035,2.327349,26.5,-0.264753,-0.33043,-0.59212,-0.494522,-0.239906,0.109091,0.254545,0.109091,9.0,0.5556,1.281212,5.0,0.2,1.380932,1.281212,1.380932,,,0.0,,,0.0,,,0.0,,,,0.0,,0.828475,0.578863,-0.036263,1.226356,0.002168,,0.166248,,,,1655.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARKB,XRPZ,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,0.0,2.0,0.5,0.150036,2.0,0.5,0.150036,1.426627,1.109195,,,0.0,,,0.0,,1.426627,1.437533,20.0,-0.01485,0.068446,-0.777204,-0.786924,0.068446,0.036364,0.072727,0.036364,1.0,1.0,1.412995,3.0,0.3333,1.440259,1.412995,1.440259,,,0.0,,,0.0,,,0.0,,,,0.0,,0.819739,0.567494,-0.004083,1.286182,0.001421,,0.192885,,,,1244.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARKX,LUNL,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.206543,,,,,0.0,,,0.0,,,,,0.417942,0.417942,0.417942,,,0.0,0.016949,0.0,0.0,,,1.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,0.712691,0.119733,0.21026,0.922065,-0.008412,82.05455,0.065574,,,,1698.0,59.0,35.0,22.0,13.0,7.0,15.0,0.628571,0.463366,16.0,0.457143,0.304658,1.618455,1.427619,,,0.0,,,0.0,,1.867161,3.110088,155.5,0.006957,-0.082192,-0.734373,-0.244046,-0.019696,0.372881,0.59322,0.372881,18.0,0.6111,1.595532,17.0,0.6471,1.641378,1.595532,1.641378,,,0.0,,,0.0,,,0.0,,,,0.0,,0.712389,0.125246,0.197598,1.133675,-0.000759,912.795379,0.040293,,,,14475.0,59.0
ARKX,RKLX,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.206543,1.0,1.0,0.206543,1.383686,1.771891,,,0.0,,,0.0,,1.383686,1.383686,33.0,0.423831,0.423831,0.423831,,0.423831,0.016949,0.016949,0.016949,0.0,,,1.0,1.0,1.383686,,1.383686,,,0.0,,,0.0,,,0.0,,,,0.0,,0.762406,0.139994,0.007456,0.780909,-0.015685,43.842988,0.015665,,,,1751.0,59.0,28.0,23.0,5.0,5.0,18.0,0.821429,0.644082,16.0,0.571429,0.390705,1.40376,1.462904,,,0.0,,,0.0,,1.680666,2.795232,193.0,0.098512,0.092848,-0.615548,-0.14776,0.098818,0.389831,0.474576,0.389831,14.0,0.7857,1.462058,14.0,0.8571,1.326244,1.462058,1.326244,,,0.0,,,0.0,,,0.0,,,,0.0,,0.77372,0.1386,0.051506,0.959571,-0.001113,622.568016,0.055503,,,,17011.0,59.0
ARKX,XOVR,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,-0.111309,-0.111309,-0.111309,,,0.0,0.018182,0.0,0.0,,,1.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,0.703513,0.810906,0.052842,0.939499,-0.008126,84.954949,0.3249,,,,1548.0,55.0,30.0,20.0,10.0,4.0,16.0,0.666667,0.487797,17.0,0.566667,0.39197,1.725087,1.598877,,,0.0,,,0.0,,1.812262,2.503701,231.0,0.014071,0.085169,-0.854846,-0.227426,0.074468,0.363636,0.545455,0.363636,17.0,0.5882,1.942622,13.0,0.7692,1.335827,1.942622,1.335827,,,0.0,,,0.0,,,0.0,,,,0.0,,0.78666,0.855774,-0.182004,1.078937,-0.001016,682.085155,0.035455,,,,15297.0,55.0
